Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2
40;04.07.2021;03.07.2022;166000;TAK;Marii Grzegorzewskiej 2;02-778;Warszawa;mazowieckie;Polska;1,2;;52.1497613;21.057363015819163;1;0;
41;08.08.2021;07.08.2022;525000;TAK;Lawendowa 15;05-504;Łoś;mazowieckie;Polska;1,2;;51.98189695;20.96334157035011;1;0;
42;23.08.2021;22.08.2022;420000;TAK;Jana Kazimierza 13;01-248;Warszawa;mazowieckie;Polska;1,2;;52.2249044;20.947453886359447;1;0;
43;10.08.2021;09.08.2022;500000;TAK;Mikołajczyka 39;63-330;Dobrzyca;wielkopolskie;Polska;1,2;;51.850223299999996;17.594267995143156;1;0;
44;30.06.2021;29.06.2022;280000;TAK;ks. Teofila Boguckiego 3a;01-508;Warszawa;mazowieckie;Polska;1,2;;52.2614143;20.981966409818867;1;0;
45;26.07.2021;25.07.2022;290000;TAK;Kołowa 16;93-142;Łódź;łódzkie;Polska;1,2;;51.73520465;19.483589078910924;1;0;
46;10.11.2021;09.11.2022;480000;TAK;Przyjazna 12;05-140;Marynino;mazowieckie;Polska;1,2;;52.52443185;21.000031162274382;1;0;
47;11.08.2021;10.08.2022;405000;TAK;Hipolita Cegielskiego 18;62-020;Swarzędz;wielkopolskie;Polska;1,2;;52.40073205;17.062816289354995;1;0;
48;01.08.2021;31.07.2022;210000;TAK;Poprzeczna 3;73-140;Ińsko;zachodniopomorskie;Polska;1,2;;53.4386814;15.551485246467074;1;0;
49;21.11.2021;20.11.2022;323000;TAK;Ząbkowska 16;03-735;Warszawa;mazowieckie;Polska;1,2;;52.2532031;21.0404342;1;0;
50;30.06.2021;29.06.2022;580000;TAK;Buska 18;02-924;Warszawa;mazowieckie;Polska;1,2;;52.17813425;21.067134396866535;1;0;
51;15.03.2021;14.03.2022;320000;TAK;Sieczna 69;03-290;Warszawa;mazowieckie;Polska;1,2;;52.31731815;21.076762606998244;1;0;
52;30.06.2021;29.06.2022;130000;TAK;1 Maja 31;11-130;Orneta;warmińsko-mazurskie;Polska;1,2;;54.11703355;20.137960114396183;1;0;
53;30.06.2021;29.06.2022;450000;TAK;Stare Załucze 54a;22-234;Stare Załucze;lubelskie;Polska;1,2;;51.3985719;23.0847666;3;0;
54;30.06.2021;29.06.2022;265000;TAK;Falista 5;61-249;Poznań;wielkopolskie;Polska;1,2;;52.36907615;16.946357397949917;1;0;
55;25.03.2021;24.03.2022;200000;TAK;Grochowe Łąki 1;61-752;Poznań;wielkopolskie;Polska;1,2;;52.4125979;16.9385185;1;0;
56;13.07.2021;12.07.2022;230000;TAK;Ignacego Mościckiego 7;83-000;Pruszcz Gdański;pomorskie;Polska;1,2;;54.2642642;18.626633964918447;1;0;
57;30.06.2021;29.06.2022;130000;TAK;Misiągiewicza 18;37-200;Przeworsk;podkarpackie;Polska;1,2;;50.05916860000001;22.505602748847622;1;0;
58;15.03.2021;14.03.2022;340000;TAK;Jeżewo 30;95-001;Jeżewo;łódzkie;Polska;1,2;;51.909517;19.4649552;3;0;
59;13.03.2021;12.03.2022;1060000;TAK;Długa 8;05-806;Granica;mazowieckie;Polska;1,2;;49.63069985;21.733726254299754;1;0;
60;30.06.2021;29.06.2022;170000;TAK;Bolesława Chrobrego 19;08-119;Siedlce;mazowieckie;Polska;1,2;;52.18338195;22.274864937046345;1;0;
61;30.06.2021;29.06.2022;425000;TAK;gen. Józefa Hallera 4B;10-693;Olsztyn;warmińsko-mazurskie;Polska;1,2;;53.739742;20.4798109;1;0;
62;30.06.2021;29.06.2022;530000;TAK;Marynarska 20;15-591;Białystok;podlaskie;Polska;1,2;;53.0849751;23.227144250000002;1;0;
63;05.07.2021;04.07.2022;885000;TAK;Srebrnych Świerków 53;05-500;Julianów;mazowieckie;Polska;1,2;;52.0954094;21.058761824824355;1;0;
64;08.07.2021;07.07.2022;415000;TAK;Polskiego Czerwonego Krzyża 7;81-621;Gdynia;pomorskie;Polska;1,2;;54.4981296;18.514216983581534;1;0;
65;01.08.2021;31.07.2022;170000;TAK;Sokratesa 13D;01-909;Warszawa;mazowieckie;Polska;1,2;;52.2858787;20.9294101;1;0;
66;30.06.2021;29.06.2022;142000;TAK;Tropiszewo 4a;82-224;Tropiszewo;pomorskie;Polska;1,2;;54.10426;18.9575;3;0;
67;19.12.2021;18.12.2022;620000;TAK;Słoneczna 5a;05-126;Stanisławów Pierwszy;mazowieckie;Polska;1,2;;52.36994905;21.03766080878296;1;0;
68;30.06.2021;29.06.2022;330000;TAK;Jana Karskiego 57A;25-214;Kielce;świętokrzyskie;Polska;1,2;;50.8425296;20.6420033;1;0;
69;03.07.2021;02.07.2022;770000;TAK;Izabelińska 81a;05-082;Stare Babice;mazowieckie;Polska;1,2;;52.2693773;20.830320177302156;1;0;
70;01.07.2021;30.06.2022;140000;TAK;Henryka Sienkiewicza 29;37-400;Nisko;podkarpackie;Polska;1,2;;50.520127599999995;22.152293775881265;1;0;
71;14.07.2021;13.07.2022;370000;TAK;Aluzyjna 25d;03-149;Warszawa;mazowieckie;Polska;1,2;;52.3474143;20.941547928649634;1;0;
72;30.06.2021;29.06.2022;515000;TAK;Bazylijska 42;95-100;Zgierz;łódzkie;Polska;1,2;;51.863850600000006;19.398319466784592;1;0;
73;01.07.2021;30.06.2022;400000;TAK;Głuska 253A;20-385;Lublin;lubelskie;Polska;1,2;;51.1857491;22.5955697;1;0;
74;30.06.2021;29.06.2022;185000;TAK;Grzegorza Kunawina 32;16-200;Dąbrowa Białostocka;podlaskie;Polska;1,2;;53.65575;23.35522;1;0;
75;08.07.2021;07.07.2022;830000;TAK;Jana Pawła II 74;32-091;Michałowice;małopolskie;Polska;1,2;;50.158606500000005;19.96575065;1;0;
76;01.07.2021;30.06.2022;700000;TAK;dr. Henryka Jordana 4a;44-193;Knurów;śląskie;Polska;1,2;;50.211049;18.642342349141046;1;0;
77;30.06.2021;29.06.2022;360000;TAK;Pelikana 19;71-698;Szczecin;zachodniopomorskie;Polska;1,2;;53.4682544;14.5609724;1;0;
78;01.07.2021;30.06.2022;242000;TAK;Aleja Zjednoczenia 11;01-829;Warszawa;mazowieckie;Polska;1,2;;52.279329;20.9475594;1;0;
79;02.07.2021;01.07.2022;110000;TAK;Jarosława Dąbrowskiego 14;02-558;Warszawa;mazowieckie;Polska;1,2;;52.202542449999996;21.020736471061788;1;0;
80;01.07.2021;30.06.2022;50000;TAK;Rzeszowska 4c;37-400;Nisko;podkarpackie;Polska;1,2;;50.517539;22.14518973667736;1;0;
81;06.07.2021;05.07.2022;160000;TAK;Sowiniecka 46C;62-050;Mosina;wielkopolskie;Polska;1,2;;52.24392;16.85615;1;0;
82;01.07.2021;30.06.2022;220000;TAK;Arbuzowa 9a;54-054;Wrocław;dolnośląskie;Polska;1,2;;51.1546744;16.9001578;1;0;
83;03.07.2021;02.07.2022;450000;TAK;Kuznocin 70;96-500;Sochaczew;mazowieckie;Polska;1,2;;52.224268800000004;20.220223968566593;1;0;
84;01.08.2021;31.07.2022;415000;TAK;Ks. bp. Władysława Bandurskiego 88;71-685;Szczecin;zachodniopomorskie;Polska;1,2;;53.4556129;14.5601595;1;0;
85;01.07.2021;30.06.2022;253000;TAK;Hawelańska 11;61-625;Poznań;wielkopolskie;Polska;1,2;;52.4371987;16.9498576;1;0;
86;12.07.2021;11.07.2022;150000;TAK;Bledzianów 49;63-500;Bledzianów;wielkopolskie;Polska;1,2;;51.47100805;17.854930944872812;3;0;
87;09.07.2021;08.07.2022;180000;TAK;Wiadukt 5A;15-327;Białystok;podlaskie;Polska;1,2;;53.0988529;23.13122265034916;1;0;
88;04.07.2021;03.07.2022;266000;TAK;Eugeniusza Romera 28;20-487;Lublin;lubelskie;Polska;1,2;;51.2094343;22.54223000188085;1;0;
89;16.03.2021;15.03.2022;590000;TAK;Spiska 2a;02-302;Warszawa;mazowieckie;Polska;1,2;;52.22151545;20.98491622775234;1;0;
90;04.07.2021;03.07.2022;560000;TAK;Zamkowa 17;06-300;Przasnysz;mazowieckie;Polska;1,2;;53.00569;20.90388;1;0;
91;01.07.2021;30.06.2022;485000;TAK;Nadrzeczna 23;23-250;Urzędów;lubelskie;Polska;1,2;;51.00381;22.16852;1;0;
92;01.07.2021;30.06.2022;200000;TAK;Dolna 17;99-400;Łowicz;łódzkie;Polska;1,2;;52.1217381;19.941510093670843;1;0;
93;01.04.2021;31.03.2022;170000;TAK;Kiełmina 54b;95-010;Kiełmina;łódzkie;Polska;1,2;;51.86542;19.52882;3;0;
94;02.07.2021;01.07.2022;155000;TAK;Gąsawska 64;64-500;Gąsawy;wielkopolskie;Polska;1,2;;52.60776;16.62854;1;0;
95;30.07.2021;29.07.2022;130000;TAK;gen. Jarosława Dąbrowskiego 12;89-200;Szubin;kujawsko-pomorskie;Polska;1,2;;53.0097132;17.735819363197606;1;0;
96;19.07.2021;18.07.2022;274000;TAK;Sosnowa 18;16-124;Sidra;podlaskie;Polska;1,2;;53.5578413;23.43718207315436;1;0;
97;21.03.2021;20.03.2022;700000;TAK;Spokojna 2;32-085;Modlnica;małopolskie;Polska;1,2;;50.136077;19.864935;1;1;
98;28.07.2021;27.07.2022;260000;TAK;Jarnołtówek 220;48-267;Jarnołtówek;opolskie;Polska;1,2;;50.283723949999995;17.432309882867337;3;0;
99;17.07.2021;16.07.2022;350000;TAK;Kasztanowa 20;55-080;Smolec;dolnośląskie;Polska;1,2;;51.0864057;16.8999384101375;1;0;
100;01.07.2021;30.06.2022;600000;TAK;Nugat 9;02-776;Warszawa;mazowieckie;Polska;1,2;;52.1550176;21.0516779;1;0;
101;01.07.2021;30.06.2022;520000;TAK;Stolarska 9;95-100;Zgierz;łódzkie;Polska;1,2;;51.873171799999994;19.432507082978717;1;0;
102;04.07.2021;03.07.2022;205000;TAK;Olimpiów 16 A;26-341;Olimpiów;łódzkie;Polska;1,2;;51.34816;20.0083;3;0;
103;07.07.2021;06.07.2022;297792;TAK;Spokojna 20;63-714;Tomnice;wielkopolskie;Polska;1,2;;51.7089239;17.495971355094788;1;0;
104;23.07.2021;22.07.2022;670000;TAK;Bursztynowa 11;62-003;Biedrusko;wielkopolskie;Polska;1,2;;52.546598599999996;16.941190274132804;1;0;
105;01.07.2021;30.06.2022;350000;TAK;Astrowa 8;87-148;Łysomice;kujawsko-pomorskie;Polska;1,2;;53.084070;18.634940;3;1;
106;15.04.2021;14.04.2022;140000;TAK;Kalinowa 5;41-200;Sosnowiec;śląskie;Polska;1,2;;50.25987295;19.173153399308788;1;0;
107;01.07.2021;30.06.2022;410000;TAK;Zdrojki Lewe 78;62-700;Turek;wielkopolskie;Polska;1,2;;52.03252;18.48904;1;0;
108;17.05.2021;16.05.2022;170000;TAK;Władysława Stanisława Reymonta 64;32-332;Bukowno;małopolskie;Polska;1,2;;50.2601787;19.4734898;1;0;
109;01.08.2021;31.07.2022;150000;TAK;Olszyn 81;21-504;Olszyn;lubelskie;Polska;1,2;;52.1396307;23.358295400000003;3;0;
110;20.07.2021;19.07.2022;430000;TAK;Ks. Romualda Żurowskiego 2;62-035;Kórnik;wielkopolskie;Polska;1,2;;52.22499995;17.08398587906253;1;0;
111;01.07.2021;30.06.2022;410000;TAK;Sosnowiecka 10;01-496;Warszawa;mazowieckie;Polska;1,2;;52.26258785;20.916205772463414;1;0;
112;05.07.2021;04.07.2022;273000;TAK;Sarcz 31c;64-980;Sarcz;wielkopolskie;Polska;1,2;;53.0595986;16.4905118;3;0;
113;22.03.2021;21.03.2022;220000;TAK;Księżycowa 1;05-400;Otwock;mazowieckie;Polska;1,2;;52.1012754;21.262666474434038;1;0;
114;01.07.2021;30.06.2022;310000;TAK;Suchoniowa 4;34-340;Jeleśnia;śląskie;Polska;1,2;;49.631201649999994;19.332661029903257;1;0;
115;20.05.2021;19.05.2022;540000;TAK;Narutowicza 19a;05-071;Sulejówek;mazowieckie;Polska;1,2;;52.24394675;21.306197900465115;1;0;
116;30.06.2021;29.06.2022;530000;TAK;Stefana Kisielewskiego 5H;05-123;Chotomów;mazowieckie;Polska;1,2;;52.4012304;20.89961805994956;1;0;
117;03.07.2021;02.07.2022;770000;TAK;Graniczna 24;05-555;Ruda;mazowieckie;Polska;1,2;;51.980115749999996;20.87792820521166;1;0;
118;04.07.2021;03.07.2022;490000;TAK;Władysława Stanisława Reymonta 19;05-091;Ząbki;mazowieckie;Polska;1,2;;52.28216415;21.118806984267245;1;0;
119;10.07.2021;09.07.2022;160000;TAK;Źródłowa 39;91-735;Łódź;łódzkie;Polska;1,2;;51.780782200000004;19.477485771020582;1;0;
120;07.07.2021;06.07.2022;310000;TAK;Jana Kochanowskiego 2;57-320;Polanica-Zdrój;dolnośląskie;Polska;1,2;;50.40039445;16.507704591540666;1;0;
121;20.04.2021;19.04.2022;300000;TAK;Słomiana 13;30-316;Kraków;małopolskie;Polska;1,2;;50.0419707;19.92724277209916;1;0;
122;12.07.2021;11.07.2022;110000;TAK;Rudłowo 8;14-500;Rudłowo;warmińsko-mazurskie;Polska;1,2;;54.37074145;19.831774383054437;3;0;
123;06.07.2021;05.07.2022;160000;TAK;Wodniaków 5;08-101;Siedlce;mazowieckie;Polska;1,2;;52.1569808;22.241996852340595;1;0;
124;01.07.2021;30.06.2022;180000;TAK;Parkowa 3;88-180;Złotniki Kujawskie;kujawsko-pomorskie;Polska;1,2;;52.91137035;18.14326562745898;1;0;
125;24.07.2021;23.07.2022;730000;TAK;Obrzeżna 1C;02-691;Warszawa;mazowieckie;Polska;1,2;;52.1715307;20.9982946;1;0;
126;01.07.2021;30.06.2022;210000;TAK;Marii Skłodowskiej-Curie 18;26-300;Opoczno;łódzkie;Polska;1,2;;51.3807871;20.282682814070867;1;0;
127;09.07.2021;08.07.2022;1030000;TAK;Spacerowa 12;32-095;Narama;małopolskie;Polska;1,2;;50.184755;19.9269885;1;0;
128;07.07.2021;06.07.2022;315000;TAK;Słoneczna 3;84-312;Cewice;pomorskie;Polska;1,2;;54.43540485;17.7382993994823;1;0;
129;01.07.2021;30.06.2022;210000;TAK;Blacharska 1;02-660;Warszawa;mazowieckie;Polska;1,2;;52.1763245;21.0165662;1;0;
130;01.07.2021;30.06.2022;500000;TAK;Słoneczna 2;66-600;Bielów;lubuskie;Polska;1,2;;52.09274;15.08507;1;0;
131;04.07.2021;03.07.2022;1020000;TAK;Białołęcka 372a;03-253;Warszawa;mazowieckie;Polska;1,2;;52.338127799999995;21.03567550910942;1;0;
132;01.07.2021;30.06.2022;210000;TAK;Bałtycka 32;61-017;Poznań;wielkopolskie;Polska;1,2;;52.4260265;16.9770855;1;0;
133;26.07.2021;25.07.2022;315000;TAK;Ostrobramska 83b;04-175;Warszawa;mazowieckie;Polska;1,2;;52.2346714;21.0976177;1;0;
134;01.07.2021;30.06.2022;160000;TAK;Bałtycka 32;61-017;Poznań;wielkopolskie;Polska;1,2;;52.4260265;16.9770855;1;0;
135;01.07.2021;30.06.2022;359000;TAK;Powiercie 161;62-600;Powiercie;wielkopolskie;Polska;1,2;;52.1835642;18.6863881;3;0;
136;01.07.2021;30.06.2022;460000;TAK;Na Górce 35;11-730;Mikołajki;warmińsko-mazurskie;Polska;1,2;;53.7973144;21.5621646;1;0;
137;06.07.2021;05.07.2022;510000;TAK;Ulesie 18i;59-222;Ulesie;dolnośląskie;Polska;1,2;;51.2225127;16.1121685;3;0;
138;06.12.2021;05.12.2022;419000;TAK;Aleksandra Prystora 4A;02-497;Warszawa;mazowieckie;Polska;1,2;;52.18851855;20.908779386479786;1;0;
139;12.07.2021;11.07.2022;300000;TAK;Jagodowa 16;43-418;Brzezówka;śląskie;Polska;1,2;;49.80700684999999;18.617558449999997;1;0;
140;24.03.2021;23.03.2022;700000;TAK;Kępna 2B;03-730;Warszawa;mazowieckie;Polska;1,2;;52.2487779;21.036935617792658;1;0;
141;08.04.2021;07.04.2022;200000;TAK;Gustawa Morcinka 21;44-284;Pstrążna;śląskie;Polska;1,2;;50.08863025;18.34653738467446;1;0;
142;02.07.2021;01.07.2022;400000;TAK;Annobór-Kolonia 14;21-100;Annobór-Kolonia;lubelskie;Polska;1,2;;51.43536025;22.588655366455143;3;0;
143;27.04.2021;26.04.2022;200000;TAK;Trzebińska 25;32-540;Młoszowa;małopolskie;Polska;1,2;;50.1558068;19.4883664374714;1;0;
144;25.07.2021;24.07.2022;520000;TAK;Grzegórzecka 85;31-559;Kraków;małopolskie;Polska;1,2;;50.0582946;19.9706805;1;0;
145;25.11.2021;24.11.2022;450000;TAK;Alfreda Nobla 27;03-930;Warszawa;mazowieckie;Polska;1,2;;52.234650349999995;21.057874834944094;1;0;
146;16.07.2021;15.07.2022;170000;TAK;Ks. Piotra Ściegiennego 40;70-354;Szczecin;zachodniopomorskie;Polska;1,2;;53.43166985;14.53098134578066;1;0;
147;04.07.2021;03.07.2022;400000;TAK;Kajetana Koźmiana 2;01-606;Warszawa;mazowieckie;Polska;1,2;;52.271361999999996;20.992977863432326;1;0;
148;09.07.2021;08.07.2022;595000;TAK;Fabryczna 13;95-020;Andrespol;łódzkie;Polska;1,2;;51.7291296;19.6377307;1;0;
149;04.07.2021;03.07.2022;370000;TAK;Rodzinna 7;80-297;Banino;pomorskie;Polska;1,2;;54.38977295;18.385583114480205;1;0;
150;20.07.2021;19.07.2022;335000;TAK;Orzycka 18;02-695;Warszawa;mazowieckie;Polska;1,2;;52.17610655;21.004301424954924;1;0;
151;02.07.2021;01.07.2022;215000;TAK;Nowolipki 13;00-151;Warszawa;mazowieckie;Polska;1,2;;52.245884;20.9954589;1;0;
152;02.07.2021;01.07.2022;110000;TAK;Pana Wołodyjowskiego 3;20-627;Lublin;lubelskie;Polska;1,2;;51.2382327;22.512623711387853;1;0;
153;07.07.2021;06.07.2022;231760;TAK;Morska 43;81-323;Gdynia;pomorskie;Polska;1,2;;54.5222386;18.5235039;1;0;
154;01.04.2021;31.03.2022;440000;TAK;Beskidzka 16;43-450;Ustroń;śląskie;Polska;1,2;;49.7342424;18.7967485;1;0;
155;02.07.2021;01.07.2022;260000;TAK;Grunwaldzka 9;32-020;Wieliczka;małopolskie;Polska;1,2;;49.9880421;20.075473001042788;1;0;
156;07.07.2021;06.07.2022;358480;TAK;Morska 45;81-323;Gdynia;pomorskie;Polska;1,2;;54.5222911;18.5233666;1;0;
157;02.07.2021;01.07.2022;400000;TAK;Akacjowa 10;59-724;Osiecznica;dolnośląskie;Polska;1,2;;51.3350008;15.412971154373368;1;0;
158;02.07.2021;01.07.2022;300000;TAK;Łąkowa 6;42-520;Dąbrowa Górnicza;śląskie;Polska;1,2;;50.3788128;19.255205170111733;1;0;
159;21.03.2021;20.03.2022;100000;TAK;Jabłeczna 10;50-539;Wrocław;dolnośląskie;Polska;1,2;;51.0806663;17.036179;1;0;
160;02.07.2021;01.07.2022;180000;TAK;Łużycka 63;30-658;Kraków;małopolskie;Polska;1,2;;50.0118219;19.97193059972322;1;0;
161;10.07.2021;09.07.2022;326800;TAK;Romana Maya 35A;64-500;Szamotuły;wielkopolskie;Polska;1,2;;52.5989228;16.601303120871428;1;0;
162;02.07.2021;01.07.2022;1030000;TAK;Lazurowa 25;06-413;Ciechanów;mazowieckie;Polska;1,2;;52.87967885;20.63905987119225;1;0;
163;15.06.2021;14.06.2022;240000;TAK;Zwycięstwa 14;44-100;Gliwice;śląskie;Polska;1,2;;50.295196;18.668748;1;1;
164;01.05.2021;30.04.2022;340000;TAK;Wybickiego 1;78-400;Szczecinek;zachodniopomorskie;Polska;1,2;;53.701585449999996;16.6955763;1;0;
165;25.03.2021;24.03.2022;420000;TAK;Jana III Sobieskiego 62;02-930;Warszawa;mazowieckie;Polska;1,2;;52.1834063;21.05576119903149;1;0;
166;03.07.2021;02.07.2022;900000;TAK;Jeździecka 13;05-462;Kopki;mazowieckie;Polska;1,2;;52.13561545;21.3718619;1;0;
167;12.07.2021;11.07.2022;360000;TAK;Zimowa 9;43-100;Tychy;śląskie;Polska;1,2;;50.1213365;19.03885;1;0;
168;08.07.2021;07.07.2022;645000;TAK;Chomęcicka 4;60-101;Poznań;wielkopolskie;Polska;1,2;;52.37153645;16.868403670543522;1;0;
169;17.03.2021;16.03.2022;347000;TAK;Wojska Polskiego 70;05-800;Pruszków;mazowieckie;Polska;1,2;;52.1543984;20.79163564006395;1;0;
170;01.05.2021;30.04.2022;313000;TAK;Bednarska 12;00-310;Warszawa;mazowieckie;Polska;1,2;;52.24534235;21.018377690859275;1;0;
171;25.03.2021;24.03.2022;500000;TAK;Kompasowa 1;04-048;Warszawa;mazowieckie;Polska;1,2;;52.2306806;21.0837062;1;0;
172;01.04.2021;31.03.2022;150000;TAK;Wojska Polskiego 52;19-101;Mońki;podlaskie;Polska;1,2;;53.48847685;22.7434355;1;0;
173;30.03.2021;29.03.2022;180000;TAK;Sienkiewicza 50;05-082;Stare Babice;mazowieckie;Polska;1,2;;52.255068699999995;20.839840478612423;1;0;
174;03.07.2021;02.07.2022;200000;TAK;Warneńska 8A;80-288;Gdańsk;pomorskie;Polska;1,2;;54.3570356;18.584807112417003;1;0;
175;01.06.2021;31.05.2022;1430000;TAK;Nowoursynowska 113e;02-797;Warszawa;mazowieckie;Polska;1,2;;52.144076150000004;21.067494636869355;1;0;
